ticker,n_train,n_test,accuracy,f1,roc_auc
AAPL,2837,1217,0.5127362366474938,0.6655386350817822,0.4608960806635225
AMZN,2837,1217,0.5102711585866886,0.6750272628135223,0.49842200545813176
GOOGL,2837,1217,0.5357436318816763,0.6957458266020463,0.49375118708452037
META,2418,1037,0.5149469623915139,0.5818786367414797,0.5101885780677451
NFLX,2837,1217,0.4938373048479869,0.38028169014084506,0.5018915749252828
